Data;ipca;BM;M1;M2;ln_BM;ln_M1;ln_M2
jan/02;0,52;52.297.704;79.015.372;317.273.183;17,77246303;18,18515297;19,57527374
fev/02;0,36;50.056.190;76.186.089;318.151.239;17,72865673;18,14868944;19,57803742
mar/02;0,6;49.371.487;75.160.808;327.125.313;17,71488363;18,13514048;19,60585388
abr/02;0,8;48.598.453;74.942.239;325.806.655;17,69910226;18,13222823;19,60181468
mai/02;0,21;49.264.504;75.539.439;328.168.352;17,71271438;18,14016545;19,6090373
jun/02;0,42;50.577.170;80.431.777;345.210.126;17,73901085;18,20291989;19,65966385
jul/02;1,19;54.219.591;84.276.840;356.786.925;17,80855286;18,24961765;19,69264931
ago/02;0,65;56.266.117;86.961.145;372.657.923;17,84560308;18,28097197;19,73617146
set/02;0,72;58.164.776;89.567.225;379.257.449;17,87879051;18,31050002;19,75372582
out/02;1,31;60.606.831;92.662.831;385.844.150;17,91991817;18,34447799;19,77094409
nov/02;3,02;61.344.327;93.972.257;389.214.301;17,93201326;18,35851016;19,77964065
dez/02;2,1;69.900.577;104.796.074;400.341.786;18,06258446;18,46752687;19,80782921
jan/03;2,25;68.885.958;101.244.913;391.237.088;18,04796291;18,43305302;19,7848243
fev/03;1,57;64.092.374;94.540.598;393.976.058;17,97583594;18,36453991;19,7918007
mar/03;1,23;69.290.133;92.128.694;388.142.457;18,05381307;18,33869701;19,77688299
abr/03;0,97;67.371.609;90.394.890;385.467.653;18,02573426;18,3196983;19,76996784
mai/03;0,61;66.199.137;87.986.711;388.490.690;18,00817798;18,29269635;19,77777976
jun/03;-0,15;65.702.551;88.239.048;386.338.027;18,00064831;18,29556014;19,77222326
jul/03;0,2;66.356.958;88.866.559;388.813.938;18,01055918;18,30264647;19,77861148
ago/03;0,34;64.492.540;88.725.657;390.970.738;17,98206012;18,30105966;19,78414328
set/03;0,78;58.850.685;89.214.043;392.149.375;17,89051403;18,30654902;19,78715338
out/03;0,29;59.215.531;90.246.083;390.099.002;17,89669441;18,31805075;19,78191112
nov/03;0,34;60.982.751;93.216.911;401.818.084;17,92610161;18,35043971;19,81151002
dez/03;0,52;70.801.557;108.009.635;416.247.543;18,07539155;18,49773099;19,8467907
jan/04;0,76;70.814.643;105.874.287;408.357.097;18,07557636;18,47776298;19,82765259
fev/04;0,61;68.765.803;103.613.775;411.584.365;18,04621713;18,45618084;19,83552458
mar/04;0,47;66.759.470;102.446.398;413.528.931;18,01660672;18,44485027;19,84023804
abr/04;0,37;68.066.959;104.090.412;415.095.168;18,03600247;18,46077043;19,84401837
mai/04;0,51;68.595.174;104.380.309;429.712.981;18,04373274;18,4635516;19,87862806
jun/04;0,71;70.769.103;105.659.189;437.868.637;18,07493307;18,47572927;19,89742951
jul/04;0,91;72.028.669;108.211.272;443.323.859;18,09257478;18,4995961;19,90981112
ago/04;0,69;72.519.510;107.906.988;451.798.704;18,09936619;18,49678019;19,92874729
set/04;0,33;73.197.910;111.338.377;458.676.647;18,10867743;18,52808456;19,94385605
out/04;0,44;75.866.183;114.987.609;464.622.126;18,1444816;18,56033493;19,956735
nov/04;0,69;76.977.791;114.887.070;472.370.296;18,15902751;18,5594602;19,97327376
dez/04;0,86;87.343.874;128.842.721;495.042.691;18,28536346;18,674103;20,02015456
jan/05;0,58;85.984.255;126.052.085;490.235.409;18,26967476;18,65220575;20,01039626
fev/05;0,59;82.910.776;122.417.451;493.606.417;18,2332756;18,62294749;20,01724903
mar/05;0,61;81.420.998;121.519.884;503.251.673;18,21514376;18,61558846;20,03660095
abr/05;0,87;80.463.962;119.486.999;503.512.158;18,20331997;18,59871813;20,03711842
mai/05;0,49;80.407.772;118.114.508;505.887.925;18,2026214;18,58716512;20,04182571
jun/05;-0,02;80.239.414;120.023.226;513.644.026;18,2005254;18,60319583;20,05704103
jul/05;0,25;82.518.935;122.319.288;518.947.452;18,22853834;18,6221453;20,06731319
ago/05;0,17;82.073.782;121.923.455;527.379.554;18,22312918;18,61890399;20,08343106
set/05;0,35;82.689.592;123.969.884;537.869.645;18,2306043;18,63554922;20,10312679
out/05;0,75;83.855.189;124.088.037;538.102.576;18,24460193;18,63650185;20,10355976
nov/05;0,55;85.139.078;126.389.576;548.097.119;18,25979669;18,65487957;20,12196305
dez/05;0,36;98.306.431;144.418.005;580.696.410;18,40360001;18,78822247;20,17973865
jan/06;0,59;96.654.680;139.814.118;565.857.853;18,38665518;18,75582437;20,15385346
fev/06;0,41;92.458.052;133.692.429;573.618.535;18,34226561;18,71105241;20,16747516
mar/06;0,43;90.484.082;134.022.978;577.567.486;18,3206845;18,71352182;20,17433585
abr/06;0,21;90.925.662;133.081.709;578.426.578;18,32555283;18,70647385;20,17582218
mai/06;0,1;90.757.357;134.105.261;592.703.839;18,3237001;18,71413558;20,2002054
jun/06;-0,21;93.789.636;135.986.740;599.137.480;18,35656492;18,72806794;20,21100165
jul/06;0,19;95.527.911;139.345.581;603.661.585;18,37492902;18,7524676;20,21852431
ago/06;0,05;96.009.219;140.238.803;605.988.723;18,37995478;18,75885726;20,22237193
set/06;0,21;100.473.756;146.036.125;610.457.741;18,42540712;18,79936458;20,22971963
